SpeciesName,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Genus
Vinciguerria_poweriae,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Stomiati,,,,,,,,,Stomiatiformes,Stomiatoidei,,Phosichthyidae,Vinciguerria
Vinciguerria_nimbaria,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Stomiati,,,,,,,,,Stomiatiformes,Stomiatoidei,,Phosichthyidae,Vinciguerria
Epinephelus_daemelii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Serranoidei,,Serranidae,Epinephelus
Epinephelus_octofasciatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Serranoidei,,Serranidae,Epinephelus
Epinephelus_rivulatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Serranoidei,,Serranidae,Epinephelus
Scorpaena_cardinalis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Scorpaenoidei,,Scorpaenidae,Scorpaena
Pterois_antennata,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Scorpaenoidei,,Scorpaenidae,Pterois
Scorpaena_onaria,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Scorpaenoidei,,Scorpaenidae,Scorpaena
Coryphaenoides_armatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coryphaenoides
Coryphaenoides_striaturus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coryphaenoides
Coryphaenoides_murrayi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coryphaenoides
Coryphaenoides_subserrulatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coryphaenoides
Coelorinchus_fasciatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coelorinchus
Coelorinchus_bollonsi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Macrouridae,Coelorinchus
Scopelarchus_analis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Scopelarchidae,Scopelarchus
Stemonosudis_macrura,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Paralepididae,Stemonosudis
Omosudis_lowii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Alepisauridae,Omosudis
Platybelone_argalus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Atherinomorphae,Beloniformes,Belonoidei,,Belonidae,Platybelone
Euleptorhamphus_viridis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Atherinomorphae,Beloniformes,Belonoidei,,Hemiramphidae,Euleptorhamphus
Ablennes_hians,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Atherinomorphae,Beloniformes,Belonoidei,,Belonidae,Ablennes
